"사업대분류명","사업중분류명","사업소분류명","사업명","사업내용","이용대상내용","이용방법내용","운영시간내용","문의처내용","대상아동나이","대상관심","대상지역","자세히보기사이트주소","신청하기사이트주소"
"편한외출","엄빠?아이가 행복한 놀이 환경 조성","엄빠행복 문화 프로젝트","엄마 북(Book)돋움 사업","엄마아빠책 1권, 우리아이책 2권, 시 육아정책정보를 담은 북돋움 책상자 배송","임산부(임신 3개월~출산 후 3개월)","임산부교통비지원 시스템에서 온라인 신청","-","서울도서관(2133-0210, 0227)","임신?출산","문화,교육","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://lib.seoul.go.kr/rwww/html/ko/bookUp.jsp","https://www.seoulmomcare.com/main/main.do"
"일생활균형","경력보유여성 취업지원","경력보유여성 취업 3종세트","우먼업 고용촉진지원금","인턴을 정규채용한 기업에 월100만원*3개월 지급","인턴십 참여기업","공고문에 따른 접수","","1660-3040","임신?출산,0~2세,3~5세,6~9세,10세 이상","일생활균형","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://www.seoulwomanup.or.kr","https://www.seoulwomanup.or.kr"
"탄생응원","난임 부부지원 확대","서울형 난임부부 시술비 지원","서울형 난임부부 시술비 지원","난임시술 비용의 본인부담액에 대한 시술별 지원상한액 지원 - 횟수 : 총 25회(누적) - 지원금액: 시술별 1회당 최대 30만원~110만원","- 서울시 모든 난임부부(사실혼 포함)","온라인 또는 보건소 방문 구비서류 제출  - 온라인 : 정부24(www.gov.kr), e보건소 공공포털(www.e-health.go.kr)  - 주소지 보건소 방문","해당없음","- 주소지 보건소 - 120다산콜센터","임신?출산","건강","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://seoul-agi.seoul.go.kr/resource-room/241?curPage=1","."
"출산","건강지원"," ","산후 우울증 정신건강 서비스","서울아기 건강첫걸음사업전담간호사가 출산가정을 방문하여 산후우울 검사 및 고위험자 정신건강복지센터 연계, 정신건강 심층상담","출산 전후 2년 이내 임산부","주소지 보건소 '서울아기건강첫걸음사업' 참여 신청","평일 09:00~18:00","주소지 보건소","0세 ~ 2세","출산 - 건강지원","서울시",".","."
"육아","돌봄지원"," ","시간제 아이돌봄 서비스","양육공백 가정에 아이돌보미가 찾아가 놀이활동, 준비된 식사 및 간식, 보육시설(초등학교) 등?하원(교) 동행 등 돌봄 서비스 제공  ※ 정부지원 아이돌봄 서비스는 서울형 아이돌봄비(조부모 돌봄수당 등)와 별개의 사업   - 서울형 아이돌봄비(조부모 돌봄수당 등) 사업에 대한 안내를 원하시면 몽땅정보통 누리집 > 출산육아정책 > 공지사항 17번 “[필독] 서울형 아이돌봄비 사업 안내”를 확인","만 12세 이하 아동","1. 정부지원 신청(복지로 홈페이지, 동주민센터)  2. 국민행복카드 발급 3. 정부지원 결정(자치구청) 4. 아이돌봄 서비스 홈페이지 가입 5. 서비스 이용신청(당월 1~25일, 전월 11~25일)","제한없음","가까운 서비스제공기관 (자치구 가족센터 등) 연결 1577-2514","연령무관","육아 - 돌봄지원","서울시","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000024","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000024"
"육아","생활지원"," ","가족배려주차장","서울시 공공?민간주차장(30면 아상) 10% 이상을 가족배려주차장으로 조성 약자 동반 가족을 배려하는 新 주차문화 조성","① 임산부 또는 임산부를 동반한 사람 ② 6세 미만 영유아 동반 차량  ③ 고령 등으로 일상생활에서 이동이 불편한 사람 또는 이를 동반한 사람","가족배려주차장 이용대상 우선 주차","각 공공?민간주차장 운영시간과 동일","서울시 주차계획과(02-2133-2358)","연령무관","육아 - 생활지원","서울시",".","."
"건강힐링","아이 건강한 식사지원","가정행복 도시락?밀키트 할인","가정행복 도시락?밀키트 할인","편의점(CU): 30일 할인쿠폰 지급  ※ GS편의점은 2023년 12월 말로 협약이 종료되었습니다. - 도시락&밀키트 등 20% 할인 - 카페음료 25% 할인 오아시스: 금액별 할인쿠폰 지급 - 월 4장 지급, 타 기획전 할인쿠폰 중복 적용 가능(문자 발급 쿠폰 중복 적용 불가능) - 오아시스마켓 배송상품 모두 사용 가능  신청기간 : 매달 20일~27일까지 선착순 접수 (쿠폰 발송일은 신청월 다음달 1일 , 휴일일 경우 2일)","서울시 거주 18세 이하 자녀 1명 이상 있는 가구(조손가구 포함) * 부모(또는 조부모) 1명당 각각 자녀별 신청 가능","협약사(CU,오아시스)에서 문자로 발송된 쿠폰 번호를 해당 협약사 어플에서 등록 후 사용","(별도로 없음)","서울시 가족다문화담당관(02-2133-8689)","임신?출산,0~2세,3~5세,6~9세,10세 이상","보육?돌봄,일생활균형","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",".","https://umppa.seoul.go.kr/hmpg/hehe/suea/difa/appl/applAgreRegistForm.do"
"육아","생활지원"," ","엄마아빠 힐링 문화 프로그램","육아에 지친 양육자의 스트레스 경감 및 아이와 함께 즐길 수 있는 문화프로그램 제공 - 문화시설 엄마아빠 힐링 프로그램 및 가족 프로그램 - 가족친화형 축제 육성?지원 - 엄마아빠가 행복한 책읽는 서울광장 - 공원 내 엄마아빠 힐링프로그램 ‘엄빠공휴일’","영유아 및 아동 동반 양육자 ※ 각 프로그램별 이용대상 상이","엄마아빠가 행복한 책읽는 서울광장 : 창의놀이터 운영(4월18일~11월10일, 매주 토~일, 현장 자유참여) 문화시설 프로그램, 공원내 체험 프로그램 : 수시 진행 - '서울문화포털'에서 검색 및 신청  - '서울특별시 공공서비스 예약' > '문화체험/문화행사' 에서 검색 및 신청","시설별 상이","서울도서관 (책읽는서울광장 2133-0223)","연령무관","육아 - 생활지원","서울시","https://news.seoul.go.kr/welfare/?p=546681","."
"건강힐링","임산부 지원 강화","서울형 산후조리경비 지원","서울형 산모 산후조리경비 지원","산모 1인당 산후조리경비 100만원 산모 본인 명의 신용(체크)카드에 100만원 바우처 포인트 지급   ※ 단태아 100만원, 쌍태아 200만원, 삼태아 300만원 출산일로부터 60일 이내 신청   ※ ‘23. 7. 1일 부터 ‘23. 8.31일 기간 내 출생아의 경우 ‘23.10.31일까지 신청","서울시에 주민등록을 두고 있는 산모 ※ ’23. 7. 1일 이후 출산한 산모부터 적용 ※ 사전준비사항  - 신청일 현재 신생아의 출생신고가 서울시에 되어 있어야 하며, 아래 카드사의 본인명의의 카드를 소지하고 있어야 바우처 지급이 가능    ? 신한카드(국민행복카드만 가능), 삼성카드, KB국민카드, 우리카드, BC카드(IBK기업은행, 신협, 새마을금고, 우체국)","포인트사용처 ① 산모?신생아 건강관리 서비스 개인부담금의 90%(최대 50만원) 지원 ② 의약품, 한약조제 건강식품 구매 ③ 산후 운동수강 서비스 - (몸건강) 체형교정, 전신마사지, 붓기관리, 탈모관리, 요가, 필라테스 - (마음건강) 산후 우울증 검사 및 상담치료  ※  ①번 서비스 50만원 상당의 바우처 지급, ②+③번 서비스 50만원 상당의 바우처 지급","","온라인 : 서울맘케어 시스템(www.seoulmomcare.com) 오프라인 : 거주지 동주민센터 방문신청","임신?출산","건강","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://www.seoulmomcare.com/notice/pcGuide.do","."
"안심돌봄","공보육?초등돌봄 시설 확충","초등돌봄 공적 인프라 확충","지역아동센터","아동보호(일상생활, 학습지도, 급식제공), 정서지원, 문화체험활동 등 돌봄 제공","18세미만 아동(초,중,고등학생)","동주민센터, 해당지역아동센터에 돌봄서비스 신청","09:00~20:00(평일-센터별 상이)","동주민센터","0~2세,3~5세,6~9세,10세 이상","보육?돌봄","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://icare.seoul.go.kr/icare/user/fcltyInfoManage/BD_selectLocalCenterContactList.do?q_tap=1","."
"육아","돌봄인프라"," ","서울형 0세 전담반 어린이집(사업종료)","12개월 미만의 영아 보육에 적합한 ‘0세 전담반’  어린이집 100개반 선정 운영","생후 12개월 미만 어린이집 보육아동","어린이집 입소 신청 및 등록","07:30~19:30","0세전담반 운영 어린이집 (서울시 보육포털-보육정보-우리동네어린이집)","0세 ~ 1세","육아 - 돌봄인프라","서울시","https://iseoul.seoul.go.kr","."
"임신(준비)","건강지원"," ","행복맘 지원 손목닥터9988 운영","스마트워치와 전용 앱을 통한 건강관리 서비스 제공","’24년도 출산 경험이 있는 서울시민","특별모집 신청 시기(잠정 ’24.8월)에 손목닥터9988 앱 또는 홈페이지 통해 신규 회원가입 후 배송된 스마트워치와 앱 연동하여 서비스 이용 ※ 휴대폰 앱 또는 개인워치(갤럭시, 애플)로 참여 희망자는 상시 모집 중","","손목닥터 9988 고객센터 (1811-9988)","연령무관","임신(준비) - 건강지원","서울시","https://onhealth.seoul.go.kr/","https://onhealth.seoul.go.kr/"
"출산","건강지원"," ","서울아기 건강 첫걸음","영유아건강간호사의 가정방문 건강관리 서비스   ㆍ보편방문 서비스 제공(모든 신청 가정)   ㆍ지속방문 서비스 제공(고위험 가정 대상, 만2세까지 약30회 방문관리)   ㆍ산전, 산후 우울증 스크리닝   ㆍ교육 책자를 활용한 부모, 양육자 교육 등","서울시 임산부 및 만2세 미만 영유아","(민원)서울시 임신출산정보센터(사이트) 신청 또는 보건소 직접 신청 →  (해당 자치구보건소) 방문날짜 협의 → (영유아건강간호사)방문관리서비스 제공","연중(평일)","주소지 보건소 사업담당 부서","연령무관","출산 - 건강지원","서울시","https://seoul-agi.seoul.go.kr/health-first-step-application","https://seoul-agi.seoul.go.kr/health-first-step-application"
"육아","교육지원"," ","다문화가족 이중언어 교육 취약계층 지원","(18세 이하 자녀를 둔 다문화가족/이중언어 부모코칭,이중언어 학습지원)","","","","","연령무관","육아 - 교육지원","서울시",".","."
"안심돌봄","돌봄공백지원","영유아 긴급보육 서비스","시간제 보육","만6개월~36개월 부모급여 또는 양육수당 수급 아동대상 시간제보육 지원","만6개월~36개월 미만 아동","시간제 보육 아동으로 임신육아종합포털 아이사랑(보건복지부) www.childcare.go.kr 사전등록 후 사전예약 또는 당일 신청","09:00~18:00","서울시육아종합지원센터(02-772-9814~9)","0~2세","보육?돌봄","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://www.childcare.go.kr/","https://www.childcare.go.kr/"
"일생활균형","일생활 균형문화 확산","서울형 육아휴직장려금","육아휴직장려금","○ 1인 최대 120만원 지원     - 육아휴직기간 연속 6개월 시 60만원, 연속 12개월 경과 시 60만원 추가지급      ※ 부?모 동시 육아휴직 시 각각 지급 (자녀 1인에 대해 가구당 최대 240만원 지급)","○ 신청일 기준 서울시에 1년 이상 계속해서 주민등록한 자(아래 조건 모두 충족 시)     - 기준 중위소득 150%이하(서울형 육아휴직 장려금 공지사항 필독)      ※ 건강보험료 본인부담금 납부액(장기요양보험료 제외)을 기준으로 월평균 가구소득 금액 산정      <span	class='color_red'>※ 고용보험 가입 후 2023.1.1.~2023.12.31. 중 육아휴직을 시작하여 육아휴직 급여를 6개월 이상 연속 수급한 자에 한해 2024.12.15.까지 신청 가능 </span>      <span	class='color_red'>※ 2022년 또는 2024년에 육아휴직을 시작한 자는 지급 불가능</span>","○ 신청방법: 온라인 신청(동주민센터 방문신청 불가) ○ 문의사항: 거주지 동주민센터 또는 서울특별시 다산콜재단(☎120)","연중","120 다산콜재단 및 동주민센터","임신?출산","수당?급여,일생활균형","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구",".","https://umppa.seoul.go.kr/hmpg/liba/spba/sein/appl/applSelfRegistForm.do"
"안심돌봄","돌봄공백지원","서울형 틈새 아이돌봄 3종 서비스","병원동행 전담 아이돌봄서비스","부모의 맞벌이 등으로 아픈 자녀의 병원 동행을 할 수 없는 경우 아이돌보미가 병원 동행 및 가정 내 돌봄 서비스 제공","비전염성 질병 감염, 예방접종, 정기검진 등으로 병원 내원이 필요한 양육공백 가정의 만 12세 이하 아동","아이돌봄서비스 (https://www.idolbom.go.kr/)에서 신청가능하며 이용가정의 상황에 맞춰 서비스제공기관(자치구 가족센터 등)에서 전담 돌보미를 연계","제한없음","서울시 아이돌봄담당관(02-2133-4812)","0~2세,3~5세,6~9세,10세 이상","보육?돌봄,건강","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://icare.seoul.go.kr/icare/dolbomMENU2/dolbomMENU2_3/dolbomMENU2_3_1.jsp","https://www.idolbom.go.kr/front/login"
"출산","건강지원"," ","서울권역 난임?우울증 상담센터 운영","난임부부, 유산?사산 경험부부, 임산부 및 양육모의 정서적 안정을 위해 전담 상담사가 등록부터 종결까지 1:1 상담 및 다양한 프로그램을 운영","난임부부, 유산?사산 경험부부, 임산부 및 양육모","센터 방문전 전화로 문의 및 상담 예약 필수  (1:1 상담으로 상담시간이 길어 질 수 있음)","평일 ( 09:00~17:00 )","강남센터(강남세브란스병원 2동 3층) : 02-2019-4581 송파센터(가든파이브 영관 8층) : 02-6956-6248 보라매센터(전문건설회관 28층): 02-870-3617 금천구지역센터(뉴연세여성의원 10층):02-895-1002","연령무관","출산 - 건강지원","서울시","https://www.mindcare-for-family.kr/","."
"양육","돌봄인프라"," ","서울형 0세 전담반 어린이집","12개월 미만의 영아 보육에 적합한 ‘0세 전담반’  어린이집 100개반 선정 운영","생후 12개월 미만 어린이집 보육아동","어린이집 입소 신청 및 등록","07:30~19:30","0세전담반 운영 어린이집 (서울시 보육포털-보육정보-우리동네어린이집)","0세 ~ 1세","양육 - 돌봄인프라","서울시","https://iseoul.seoul.go.kr","."
"안심돌봄","돌봄공백지원","서울형 틈새 아이돌봄 3종 서비스","아픈아이 전담 아이돌봄서비스","부모의 맞벌이 등으로 아픈 자녀의 병원 동행을 할 수 없는 경우 아이돌보미가 병원 동행 및 가정 내 돌봄 서비스 제공('23년은 5개구 시범운영 중 : 성동, 동대문, 강북, 강서, 서초)","비전염성 질병 감염, 예방접종, 정기검진 등으로 병원 내원이 필요한 양육공백 가정의 만 12세 이하 아동","아이돌봄서비스 (https://www.idolbom.go.kr/)에서 신청가능하며 이용가정의 상황에 맞춰 서비스제공기관(자치구 가족센터 등)에서 전담 돌보미를 연계","제한없음","서울시 아이돌봄담당관(02-2133-4812)","0~2세,3~5세,6~9세,10세 이상","보육?돌봄,건강","강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구","https://icare.seoul.go.kr/icare/dolbomMENU2/dolbomMENU2_3/dolbomMENU2_3_1.jsp","https://www.idolbom.go.kr/front/login"
"양육","가사지원"," ","외국인 가사관리사 시범사업","서울지역 맞벌이 가구 등을 대상으로 외국인 가사관리사가 양육가정의 가사와 육아를 제공하는 서비스 - (서비스 유형) 시간제(4?6시간), 종일제(8시간)    * 이용가능일 : 월~금, 이용가능시간 : 08:00~20:00 - (서비스 내용) 외국인 가사관리사가 출퇴근 하면서 자녀돌봄 및 그와 관련된 가사활동 제공","만 12세(2011.7.18.이후 출생)이하 자녀를 두었거나 출산예정인 가정 ※ 한부모, 다자녀, 맞벌이, 임신부가 있는 가정 우선 이용자 선정","서비스 제공기관 홈페이지(혼스토리생활, 휴브리스)에서 신청(‘24.8월 예정)","2024.9월초~2025년 2월말, 6개월","서울시 가족담당관(2133-6545, 6547)","0세 ~ 12세","양육 - 가사지원","서울시","https://umppa.seoul.go.kr/hmpg/chpo/noti/bordContDetail.do?mode=W&bbs_no=1&pst_no=1D54BCF35A2A35A3E063A602216284C6","."
"육아","돌봄지원"," ","영아 전담 아이돌봄서비스","출산휴가, 육아휴직 후 복귀하는 맞벌이 가정을 지원하고자 영아 돌봄 교육을 이수한 전담 돌보미가 영아 이유식 먹이기, 젖병 소독 등 영아 특화 돌봄서비스 제공","양육공백 가정의 만 36개월 이하 아동","아이돌봄서비스 (https://www.idolbom.go.kr/)에서 신청가능하며 이용가정의 상황에 맞춰 서비스제공기관(자치구 가족센터 등)에서 전담 돌보미를 연계","제한없음","서울시 가족담당관(02-2133-6558), 가까운 자치구 서비스제공기관(자치구 가족센터 등) 연결(1577-2514)","연령무관","육아 - 돌봄지원","서울시","https://icare.seoul.go.kr/icare/dolbomMENU2/dolbomMENU2_3/dolbomMENU2_3_1.jsp","https://www.idolbom.go.kr/front/login"
"육아","돌봄지원"," ","영아종일제 아이돌봄 서비스","양육공백 가정에 아이돌보미가 찾아가 영아 이유식 먹이기, 젖병 소독, 기저귀 갈기, 목욕 등 돌봄 서비스 제공  ※ 정부지원 아이돌봄 서비스는 서울형 아이돌봄비(조부모 돌봄수당 등)와 별개의 사업   - 서울형 아이돌봄비(조부모 돌봄수당 등) 사업에 대한 안내를 원하시면 몽땅정보통 누리집 > 출산육아정책 > 공지사항 17번 “[필독] 서울형 아이돌봄비 사업 안내”를 확인","만 36개월 이하 영아","1. 정부지원 신청(복지로 홈페이지, 동주민센터)  2. 국민행복카드 발급 3. 정부지원 결정(자치구청) 4. 아이돌봄 서비스 홈페이지 가입 5. 서비스 이용신청(당월 1~25일, 전월 11~25일)","제한없음","가까운 서비스제공기관 (자치구 가족센터 등) 연결 1577-2514","연령무관","육아 - 돌봄지원","서울시","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000024","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000024"
"임신준비","건강지원"," ","서울시 한의약 난임치료 지원","원인불명의 난임진단 부부에게  한의약 난임치료 첩약비용(3개월)의 본인부담금 90%(상한 1,200천원) 지원","서울시 거주 난임진단 부부","임신출산정보센터 난임부부 회원등록 후  온라인(서울시 임신출산 정보센터 사이트) 또는 주소지 보건소 신청","해당없음","주소지 보건소 한의약 난임담당 다산콜센터(02-120)","연령무관","임신준비 - 건강지원","서울시","https://seoul-agi.seoul.go.kr/infertility-treatment-support","https://seoul-agi.seoul.go.kr/infertility-treatment-support-application"
"육아","돌봄지원"," ","공동육아나눔터","부모 참여형 다양한 놀이 프로그램 운영, 도서 및 교구 지원, 가족품앗이 활동 지원 등","자녀 및 보호자","전화예약 후 시설 이용 (자치구 가족센터)","월~금 09:00~18:00 (시설별 상이)","자치구 가족센터","연령무관","육아 - 돌봄지원","서울시","https://icare.seoul.go.kr/icare/user/fcltyInfoManage/BD_selectCopertnChldcrContactList.do?q_svcClCode=1004&q_tap=1","."
"출산","생활지원"," ","여성장애인 출산비용 지원","(등록 여성장애인 중 2025년도 1월 1일 이후, 출산 또는 유산, 사산(임신기간 4개월(16주) 이상)한 경우 출산비용을 지원/지원대상자에게 태아 1인 기준 120만원을 지원)","","","","보건복지부 장애인건강과","연령무관","출산 - 생활지원","서울시",".","."
